# Astrax offline transition dataset
# state values are finite and bounded to [-1, 1]
action,reward,terminal,state,next_state
0,0.11838185,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,-0.128381863;5.59272739e-05;-0.00131150056;0.000469082181;0.000246504787;0.000315445825;0.000507594668;-0.00138294627;-0.00147197593;-0.00105141313;-0.000234220279;-0.00108873239;-0.000313825731;0.00044881014;-0.00128038786;0.000790431513;0.000810894708;0.000949331035;-0.00093192223;0.000721427612;-9.59767058e-05;0.000199620205;0.000455245492;0.000628427078;-0.00147551927;-0.00129223079;-0.00129607506;-0.000486050092;0.00074079039;0.00125458126;-0.00102758955;-0.00075881643
3,-0.0582242087,0,-0.128381863;5.59272739e-05;-0.00131150056;0.000469082181;0.000246504787;0.000315445825;0.000507594668;-0.00138294627;-0.00147197593;-0.00105141313;-0.000234220279;-0.00108873239;-0.000313825731;0.00044881014;-0.00128038786;0.000790431513;0.000810894708;0.000949331035;-0.00093192223;0.000721427612;-9.59767058e-05;0.000199620205;0.000455245492;0.000628427078;-0.00147551927;-0.00129223079;-0.00129607506;-0.000486050092;0.00074079039;0.00125458126;-0.00102758955;-0.00075881643,-0.128115341;0.000584644382;9.7792712e-05;-0.118834846;0.000304677582;0.000793513376;0.000564780319;-0.0019482004;-0.00157174736;-0.00182308769;-0.000999807962;-0.000153327244;0.000921421684;0.00185747573;-0.00245480449;0.00168283097;0.000754549284;0.000600960338;-0.000183929864;0.000225042982;-0.000440810021;-0.000816410407;0.00121015729;-0.000542190683;-0.000693665352;-0.00206418522;-0.00192973367;-0.000979769626;0.00125960284;0.00264819968;-0.00199881289;0.000479338982
6,0.106560819,0,-0.128115341;0.000584644382;9.7792712e-05;-0.118834846;0.000304677582;0.000793513376;0.000564780319;-0.0019482004;-0.00157174736;-0.00182308769;-0.000999807962;-0.000153327244;0.000921421684;0.00185747573;-0.00245480449;0.00168283097;0.000754549284;0.000600960338;-0.000183929864;0.000225042982;-0.000440810021;-0.000816410407;0.00121015729;-0.000542190683;-0.000693665352;-0.00206418522;-0.00192973367;-0.000979769626;0.00125960284;0.00264819968;-0.00199881289;0.000479338982,-0.127855167;-2.69547454e-05;0.00150908984;-0.118567273;0.000152337336;5.32357371e-05;-0.11599604;-0.00173680403;-0.00147435628;-0.00230707135;-0.00207407121;-0.00148082408;0.00126703456;0.00175244536;-0.00253871479;0.000888760376;0.00210573222;0.000100176898;-0.000609812269;-0.000162468306;0.00100295711;-0.00166010135;0.00215002871;6.39399514e-05;0.000432257424;-0.00077274791;-0.0024505998;0.000509085134;0.00233089342;0.00410401914;-0.00147237978;0.00169732375
1,0.101738088,0,-0.127855167;-2.69547454e-05;0.00150908984;-0.118567273;0.000152337336;5.32357371e-05;-0.11599604;-0.00173680403;-0.00147435628;-0.00230707135;-0.00207407121;-0.00148082408;0.00126703456;0.00175244536;-0.00253871479;0.000888760376;0.00210573222;0.000100176898;-0.000609812269;-0.000162468306;0.00100295711;-0.00166010135;0.00215002871;6.39399514e-05;0.000432257424;-0.00077274791;-0.0024505998;0.000509085134;0.00233089342;0.00410401914;-0.00147237978;0.00169732375,-0.126795396;0.111711137;0.0025270558;-0.119565219;0.00138828577;0.00135395571;-0.115790814;-0.00243426836;-0.00134941319;-0.00274830405;-0.00168007042;-0.000122389058;0.000458538882;0.00137312477;-0.00348556647;0.0020391806;0.00200989493;-0.000827020267;0.000383449835;0.000900261453;0.000684242346;-0.00187087152;0.00308090495;0.00107634917;0.000261070847;0.000422020152;-0.00232776371;0.00141420052;0.00268947845;0.00343157025;-0.00232538977;0.00104566198
5,0.0825893432,0,-0.126795396;0.111711137;0.0025270558;-0.119565219;0.00138828577;0.00135395571;-0.115790814;-0.00243426836;-0.00134941319;-0.00274830405;-0.00168007042;-0.000122389058;0.000458538882;0.00137312477;-0.00348556647;0.0020391806;0.00200989493;-0.000827020267;0.000383449835;0.000900261453;0.000684242346;-0.00187087152;0.00308090495;0.00107634917;0.000261070847;0.000422020152;-0.00232776371;0.00141420052;0.00268947845;0.00343157025;-0.00232538977;0.00104566198,-0.127440825;0.112319656;0.00284103723;-0.119214185;0.00218098937;0.130585253;-0.116943046;-0.00345489243;-0.00241173129;-0.00366155244;-0.00211086404;0.00117731118;0.00175802503;0.00275733881;-0.00406089053;0.00158092799;0.00151953637;0.000260366593;-0.000150137697;0.00130533543;0.000183824217;-0.00221399823;0.00378998299;0.000679758901;0.00142503576;0.00132166024;-0.00320855994;0.00113153667;0.00382586103;0.00385856349;-0.000837405212;0.00196231832
0,0.100069605,0,-0.127440825;0.112319656;0.00284103723;-0.119214185;0.00218098937;0.130585253;-0.116943046;-0.00345489243;-0.00241173129;-0.00366155244;-0.00211086404;0.00117731118;0.00175802503;0.00275733881;-0.00406089053;0.00158092799;0.00151953637;0.000260366593;-0.000150137697;0.00130533543;0.000183824217;-0.00221399823;0.00378998299;0.000679758901;0.00142503576;0.00132166024;-0.00320855994;0.00113153667;0.00382586103;0.00385856349;-0.000837405212;0.00196231832,-0.237510413;0.112308398;0.00145875139;-0.119181134;0.000927423127;0.130999431;-0.117328145;-0.00414333493;-0.00138126896;-0.00308742956;-0.00111445715;0.00120403781;0.0031571181;0.00370850461;-0.00486262003;0.00136287091;0.00235614763;-0.00120584155;-0.000288662151;0.00040445209;-0.000202932628;-0.00307023665;0.00389726879;0.00153453927;-5.77995088e-05;0.00185135775;-0.00403518556;0.000330575102;0.00488773175;0.00473428611;-0.000767018064;0.00229114993
3,0.0439713746,0,-0.237510413;0.112308398;0.00145875139;-0.119181134;0.000927423127;0.130999431;-0.117328145;-0.00414333493;-0.00138126896;-0.00308742956;-0.00111445715;0.00120403781;0.0031571181;0.00370850461;-0.00486262003;0.00136287091;0.00235614763;-0.00120584155;-0.000288662151;0.00040445209;-0.000202932628;-0.00307023665;0.00389726879;0.00153453927;-5.77995088e-05;0.00185135775;-0.00403518556;0.000330575102;0.00488773175;0.00473428611;-0.000767018064;0.00229114993,-0.237128869;0.111108519;0.00262060505;-0.00493179122;0.000800929964;0.129601106;-0.116859242;-0.00288302358;-0.000531972153;-0.00345539581;-0.00210828241;0.000348638627;0.00460781995;0.00438200543;-0.0048582945;-3.16691585e-05;0.00102002686;-5.39043685e-05;-0.000251581805;-0.000155387825;0.000252976461;-0.00243488559;0.00373682193;0.0027415955;-0.000700099452;0.00315608224;-0.00296053081;-0.000405511848;0.00627903361;0.00450235931;-8.50024517e-05;0.00245591789
6,0.100379847,0,-0.237128869;0.111108519;0.00262060505;-0.00493179122;0.000800929964;0.129601106;-0.116859242;-0.00288302358;-0.000531972153;-0.00345539581;-0.00210828241;0.000348638627;0.00460781995;0.00438200543;-0.0048582945;-3.16691585e-05;0.00102002686;-5.39043685e-05;-0.000251581805;-0.000155387825;0.000252976461;-0.00243488559;0.00373682193;0.0027415955;-0.000700099452;0.00315608224;-0.00296053081;-0.000405511848;0.00627903361;0.00450235931;-8.50024517e-05;0.00245591789,-0.237515345;0.110081516;0.00169763877;-0.00384561811;0.00208676886;0.129766718;-0.227239102;-0.00354423607;0.000309523719;-0.00284087914;-0.00303815678;0.00069256837;0.00559873087;0.00322474819;-0.00506681856;0.000471700507;0.00206640922;0.000120363045;0.000679353368;-0.000212699699;-0.000990321627;-0.00155487377;0.0051575182;0.00173639087;5.68217947e-05;0.00224603526;-0.0028586511;0.000967731583;0.00539568206;0.00331051182;0.000546191644;0.0028534194
2,0.102352522,0,-0.237515345;0.110081516;0.00169763877;-0.00384561811;0.00208676886;0.129766718;-0.227239102;-0.00354423607;0.000309523719;-0.00284087914;-0.00303815678;0.00069256837;0.00559873087;0.00322474819;-0.00506681856;0.000471700507;0.00206640922;0.000120363045;0.000679353368;-0.000212699699;-0.000990321627;-0.00155487377;0.0051575182;0.00173639087;5.68217947e-05;0.00224603526;-0.0028586511;0.000967731583;0.00539568206;0.00331051182;0.000546191644;0.0028534194,-0.237033352;0.1086668;-0.110654883;-0.00360503979;0.00329071423;0.129807964;-0.225875124;-0.00297214696;-0.000295446371;-0.0015042458;-0.00219832663;0.00202455022;0.00426849537;0.00465652393;-0.00641231146;0.000516689382;0.00120083289;-0.00112542033;0.00159660378;0.000806517026;-0.00195027073;-0.00270920526;0.00629438693;0.00186072499;-0.000924573571;0.00149784959;-0.00254658074;0.00195203791;0.00607589912;0.00322903041;-7.48656457e-05;0.0021282644
5,-0.0872766376,0,-0.237033352;0.1086668;-0.110654883;-0.00360503979;0.00329071423;0.129807964;-0.225875124;-0.00297214696;-0.000295446371;-0.0015042458;-0.00219832663;0.00202455022;0.00426849537;0.00465652393;-0.00641231146;0.000516689382;0.00120083289;-0.00112542033;0.00159660378;0.000806517026;-0.00195027073;-0.00270920526;0.00629438693;0.00186072499;-0.000924573571;0.00149784959;-0.00254658074;0.00195203791;0.00607589912;0.00322903041;-7.48656457e-05;0.0021282644,-0.236336827;0.108445853;-0.109434612;-0.00477357442;0.00284376321;0.0174439494;-0.22472848;-0.00435619149;0.000781022478;-0.00286129653;-0.00306438422;0.00232280581;0.00560497027;0.00429249043;-0.00511889905;-0.000396099058;0.00068453874;-0.00239106547;0.000530285179;0.000308939838;-0.00119508733;-0.00289043109;0.00535386894;0.00318692974;-0.000207594538;5.84974186e-05;-0.00359391025;0.000763092539;0.00752217462;0.00305519369;-0.000351927243;0.00206846581
